Scheme Code;Scheme Name;Plan;Option;ISIN Div Payout/ISIN Growth;ISIN Div Reinvestment;Net Asset Value;Date
134954;JM Large Cap Fund;Regular Plan;Quarterly IDCW Option;INF192K01JL3;INF192K01JM1;35.0053;19-Aug-2026

Kotak Mahindra Mutual Fund
120152;Kotak Large Cap Fund;Direct Plan;Growth;INF174K01KW6;;662.98;19-Aug-2026
114458;Kotak Large Cap Fund;Regular Plan;Growth;INF174K01153;;569.498;19-Aug-2026
120153;Kotak Large Cap Fund;Direct Plan;Payout of Income Distribution cum capital withdrawal option;INF174K01KY2;INF174K01KX4;87.681;19-Aug-2026
114457;Kotak Large Cap Fund;Regular Plan;Payout of Income Distribution cum capital withdrawal option;INF174K01179;INF174K01161;73.513;19-Aug-2026

LIC Mutual Fund
120267;LIC MF Large Cap Fund;Direct Plan;Growth;INF767K01EJ7;;62.294;19-Aug-2026
120268;LIC MF Large Cap Fund;Direct Plan;IDCW;INF767K01EI9;INF767K01EK5;39.2265;19-Aug-2026
106871;LIC MF Large Cap Fund;Regular Plan;Growth;INF767K01105;;54.1513;19-Aug-2026
100332;LIC MF Large Cap Fund;Regular Plan;IDCW;INF767K01097;INF767K01089;32.704;19-Aug-2026

PGIM India Mutual Fund
138313;PGIM India Large Cap Fund;Direct Plan;Direct IDCW;INF663L01GS2;INF663L01GT0;26.53;19-Aug-2026
138312;PGIM India Large Cap Fund;Direct Plan;Direct Growth;INF663L01GR4;;401.79;19-Aug-2026
138307;PGIM India Large Cap Fund;Regular Plan;Regular IDCW;INF663L01GU8;INF663L01GV6;18.27;19-Aug-2026
138308;PGIM India Large Cap Fund;Regular Plan;Regular Growth;INF663L01GW4;;333.04;19-Aug-2026

quant Mutual Fund
150440;quant Large Cap Fund;Direct Plan;Growth Option;INF966L01AT0;;16.8842;19-Aug-2026
150441;quant Large Cap Fund;Regular Plan;Growth Option;INF966L01AW4;;15.8533;19-Aug-2026
150439;quant Large Cap Fund;Direct Plan;IDCW Option;INF966L01AU8;INF966L01AV6;16.9539;19-Aug-2026
150442;quant Large Cap Fund;Regular Plan;IDCW Option;INF966L01AX2;INF966L01AY0;15.7655;19-Aug-2026

Samco Mutual Fund
153239;Samco Large Cap Fund;Direct Plan;Growth;INF0K1H01255;;9.13;19-Aug-2026
153238;Samco Large Cap Fund;Regular Plan;Growth;INF0K1H01263;;8.92;19-Aug-2026

Sundaram Mutual Fund
148509;Sundaram Large Cap Fund ( Formerly Know as Sundaram Blue Chip Fund);Direct Plan;IDCW (Income Distribution CUM Capital Withdrawal);;INF903JA1JE6;16.6135;19-Aug-2026
148505;Sundaram Large Cap Fund ( Formerly Know as Sundaram Blue Chip Fund);Regular Plan;IDCW (Income Distribution CUM Capital Withdrawal);INF903JA1JA4;;15.2418;19-Aug-2026
148508;Sundaram Large Cap Fund ( Formerly Know as Sundaram Blue Chip Fund);Direct Plan;IDCW (Income Distribution CUM Capital Withdrawal);INF903JA1JD8;;16.6135;19-Aug-2026
148506;Sundaram Large Cap Fund ( Formerly Know as Sundaram Blue Chip Fund);Regular Plan;IDCW (Income Distribution CUM Capital Withdrawal);;INF903JA1JB2;15.2418;19-Aug-2026
148507;Sundaram Large Cap Fund ( Formerly Know as Sundaram Blue Chip Fund);Direct Plan;GROWTH;INF903JA1JC0;;22.8816;19-Aug-2026
148504;Sundaram Large Cap Fund ( Formerly Know as Sundaram Blue Chip Fund);Regular Plan;GROWTH;INF903JA1IZ3;;21.0259;19-Aug-2026

Taurus Mutual Fund
118870;Taurus Large Cap Fund;;;INF044D01BX3;;175.62;19-Aug-2026
118871;Taurus Large Cap Fund;;;INF044D01BY1;INF044D01BZ8;77.35;19-Aug-2026
101209;Taurus Large Cap Fund;;;INF044D01773;;165.63;19-Aug-2026
108403;Taurus Large Cap Fund;;;INF044D01740;INF044D01757;72.56;19-Aug-2026

WhiteOak Capital Mutual Fund
150797;WhiteOak Capital Large Cap Fund;Direct Plan;Growth Option;INF03VN01696;;15.994;19-Aug-2026
150798;WhiteOak Capital Large Cap Fund;Direct Plan;IDCW Option;INF03VN01704;INF03VN01712;15.994;19-Aug-2026
150799;WhiteOak Capital Large Cap Fund;Regular Plan;Growth Option;INF03VN01662;;15.041;19-Aug-2026
150800;WhiteOak Capital Large Cap Fund;Regular Plan;IDCW Option;INF03VN01670;INF03VN01688;15.041;19-Aug-2026

Open Ended Schemes ( Equity Scheme - Large & Mid Cap Fund )


Abakkus Mutual Fund
154477;Abakkus Large & Mid Cap Fund;Direct Plan;Growth;INF2JJD01193;;10.0060;19-Aug-2026
154478;Abakkus Large & Mid Cap Fund;Regular Plan;Growth;INF2JJD01201;;9.9990;19-Aug-2026

Bajaj Finserv Mutual Fund
152408;Bajaj Finserv Large and Mid Cap Fund;Direct Plan;Growth;INF0QA701763;;12.936;19-Aug-2026
152405;Bajaj Finserv Large and Mid Cap Fund;Direct Plan;IDCW;INF0QA701771;INF0QA701789;12.936;19-Aug-2026
152406;Bajaj Finserv Large and Mid Cap Fund;Regular Plan;Growth;INF0QA701730;;12.479;19-Aug-2026
152407;Bajaj Finserv Large and Mid Cap Fund;Regular Plan;IDCW;INF0QA701748;INF0QA701755;12.479;19-Aug-2026

Bandhan Mutual Fund
118419;Bandhan Large & Mid Cap Fund;Direct Plan;Growth;INF194K01V89;;166.361;19-Aug-2026
118420;Bandhan Large & Mid Cap Fund;Direct Plan;IDCW;INF194K01V97;INF194K01W05;37.009;19-Aug-2026
108596;Bandhan Large & Mid Cap Fund;Regular Plan;Growth;INF194K01524;;140.954;19-Aug-2026
108597;Bandhan Large & Mid Cap Fund;Regular Plan;IDCW;INF194K01532;INF194K01540;27.877;19-Aug-2026

Bank of India Mutual Fund
119349;BANK OF INDIA LARGE & MID CAP FUND;Direct Plan;Quarterly IDCW;INF761K01678;INF761K01660;30.18;19-Aug-2026
119300;BANK OF INDIA LARGE & MID CAP FUND;Direct Plan;Bonus;INF761K01629;;56.12;19-Aug-2026
119350;BANK OF INDIA LARGE & MID CAP FUND;Direct Plan;Growth;INF761K01652;;108.69;19-Aug-2026
119346;BANK OF INDIA LARGE & MID CAP FUND;Direct Plan;IDCW;INF761K01645;INF761K01637;29.73;19-Aug-2026
110599;BANK OF INDIA LARGE & MID CAP FUND;;Growth;INF761K01041;;103.35;19-Aug-2026
110601;BANK OF INDIA LARGE & MID CAP FUND;;Bonus;INF761K01017;;103.35;19-Aug-2026
110604;BANK OF INDIA LARGE & MID CAP FUND;;Quarterly IDCW;INF761K01058;INF761K01066;29.15;19-Aug-2026
110608;BANK OF INDIA LARGE & MID CAP FUND;;IDCW;INF761K01025;INF761K01033;28.94;19-Aug-2026
110603;BANK OF INDIA LARGE & MID CAP FUND;Regular Plan;Growth;INF761K01108;;93.28;19-Aug-2026
110598;BANK OF INDIA LARGE & MID CAP FUND;Regular Plan;Quarterly IDCW;INF761K01116;INF761K01124;33.97;19-Aug-2026
110607;BANK OF INDIA LARGE & MID CAP FUND;Regular Plan;IDCW;INF761K01082;INF761K01090;27.84;19-Aug-2026
110606;BANK OF INDIA LARGE & MID CAP FUND;Regular Plan;Bonus;INF761K01074;;93.27;19-Aug-2026

